plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes,alert_name,missing_RE_code
A2,31,132,2021,bo,2,49.52,43.3,74.9,2000,NA,NA,NA,measure_not_possible,NA
C4,491,132,2021,rm,2,28.88,30.5,37.82,250,NA,NA,NA,measure_not_possible,NA
A1,8,132,2021,yb,3,26.95,27,35.17,NA,NA,NA,NA,measure_not_recorded,FALSE
A2,33,132,2021,bo,2,22.95,33.9,27.88,NA,NA,NA,NA,measure_not_recorded,FALSE
A2,892,132,2021,hem,2,18.12,12.8,30.24,NA,NA,NA,NA,measure_not_recorded,FALSE
B3,214,132,2021,yb,1,34.83,16,36.57,NA,NA,NA,NA,measure_not_recorded,FALSE
C1,225,132,2021,beech,2,48.34,14.3,58.32,NA,NA,"dead, top snapped off",NA,measure_not_recorded,FALSE
C3,421,132,2021,ash,3,38.42,42.8,60.61,NA,NA,NA,NA,measure_not_recorded,FALSE
