plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes
A1,1,218,2020,yb,4,14.51,19.4,16.52,18.38,,,NA
A1,2,218,2020,rm,1,91.17,36.6,111.92,114.07,,,needs new
A1,2,218,2020,rm,2,NA,NA,NA,9.64,,first measurement,install new
A1,6,218,2020,rm,3,64.49,35.1,77.66,78.99,,,NA
A1,8,218,2020,yb,3,26.95,27.0,33.55,34.54,,,NA
A1,9,218,2020,yb,2,32.69,18.0,43.01,44.04,,,NA
A1,10,218,2020,yb,2,29.84,16.7,39.99,40.67,,,NA
A1,14,218,2020,ro,3,69.21,62.7,103.41,108.86,,,NA
A1,15,218,2020,rm,1,33.45,23.0,35.40,35.54,,,NA
A1,18,218,2020,rm,2,31.42,29.0,34.81,38.38,,duplicate of B1 154,NA
A1,19,218,2020,ro,3,75.59,54.2,118.53,124.75,,Duplicate of B1 155,"Duplicate of B1 155, needs new"
A1,19,218,2020,ro,4,NA,NA,NA,13.36,,Duplicate of B1 155,"Duplicate of B1 155, install new"
A1,801,218,2020,hem,1,39.93,10.9,59.10,60.23,,,NA
A1,828,218,2020,yb,1,36.84,11.9,46.98,47.91,,,NA
A1,903,218,2020,hem,1,21.59,10.3,42.49,43.96,,,NA
A2,25,218,2020,rm,1,69.61,16.0,73.66,74.22,,remove next,NA
A2,25,218,2020,rm,2,NA,NA,11.87,12.09,,DBH next,NA
A2,26,218,2020,bo,2,65.64,43.8,86.80,88.61,,,NA
A2,27,218,2020,rm,4,10.20,13.0,17.02,18.11,,,NA
A2,29,218,2020,rm,1,54.72,16.9,58.07,58.46,,,NA
A2,30,218,2020,rm,2,84.48,25.0,95.34,97.50,,,NA
A2,31,218,2020,bo,2,49.52,43.3,71.58,73.87,,,NA
A2,32,218,2020,ro,2,54.14,45.7,78.61,80.83,,,"check previous, 75.48?"
A2,33,218,2020,bo,2,22.95,33.9,25.48,27.12,,,NA
A2,34,218,2020,ro,2,21.78,43.4,37.43,38.82,,,NA
A2,35,218,2020,rm,1,26.92,22.2,29.35,29.20,,,NA
A2,892,218,2020,hem,2,18.12,12.8,27.16,29.87,,,NA
A2,893,218,2020,rm,1,20.29,10.6,26.60,27.72,,,NA
A2,911,218,2020,beech,1,32.69,10.1,48.94,50.34,,,NA
A2,990,218,2020,hem,1,29.17,10.3,50.30,52.05,,,NA
A3,51,218,2020,ro,2,48.06,25.5,68.38,71.26,,,NA
