plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes,
E5,908,182,2021,rm,2,82.31,30.0,117.20,121.79,,,NA,
E5,909,182,2021,rm,2,37.08,21.8,51.79,54.70,,,NA,
E5,910,182,2021,rm,2,14.09,23.2,31.01,34.92,,,NA,
E5,911,182,2021,hem,2,27.15,46.2,44.50,45.20,,,NA,
E5,992,182,2021,chestnut,1,9.33,10.2,24.96,27.78,,,NA,
F1,202,182,2021,hem,3,24.80,16.2,49.35,56.31,,,NA,
F1,210,182,2021,hem,2,41.75,12.3,58.14,58.97,,,NA,
F1,235,182,2021,hem,2,15.45,12.9,32.93,36.46,,,NA,
F1,236,182,2021,hem,4,27.18,16.80,28.44,36.17,,,NA,
F1,297,182,2021,hem,4,24.37,15.3,45.26,51.26,,,NA,
F1,579,182,2021,hem,1,10.19,10.1,14.64,14.75,,,NA,
F1,808,182,2021,hem,1,26.01,10.8,53.11,58.79,,,NA,
F1,837,182,2021,hem,2,22.41,14.4,23.48,30.15,,,NA,
F1,916,182,2021,rm,1,12.34,10.2,12.26,20.52,,,NA,
F1,930,182,2021,hem,3,74.33,61.9,116.18,120.87,,needs new asap,need new ~9mm left,
F1,933,182,2021,rm,3,12.57,21.4,32.80,38.53,,,NA,
F1,934,182,2021,rm,1,26.48,16.0,43.14,47.57,,,NA,
F1,936,182,2021,rm,2,16.26,14.0,31.61,38.72,,,NA,
F1,937,182,2021,rm,5,51.91,34.0,82.15,89.13,,,NA,
F1,938,182,2021,rm,4,66.52,31.3,95.74,102.60,,,NA,
F1,941,182,2021,rm,1,94.21,27.5,107.87,108.56,,,NA,
F1,943,182,2021,rm,1,85.56,24.9,102.27,103.41,,"dead, snapped off",NA,
F1,947,182,2021,rm,1,55.10,18.4,71.47,76.23,,,NA,
F1,948,182,2021,rm,2,37.89,23.2,55.03,59.62,,,NA,
F1,949,182,2021,bo,3,34.59,39.3,74.81,84.58,,,NA,
F1,950,182,2021,rm,2,23.94,11.2,44.79,48.72,,,NA,
F2,825,182,2021,hem,1,15.85,10.0,21.85,25.76,,,NA,
F2,838,182,2021,bb,1,25.45,10.7,41.06,44.09,,,NA,
F2,922,182,2021,hem,1,21.04,9.9,20.76,21.01,,,NA,
F2,977,182,2021,rm,2,36.93,19.9,56.93,60.01,,,NA,
F2,978,182,2021,yb,1,29.41,11.4,36.80,37.78,,,NA,
F2,980,182,2021,hem,1,77.82,33.4,84.16,85.52,,,NA,
F2,983,182,2021,yb,1,46.83,20.4,49.99,50.23,,,NA,
F2,984,182,2021,rm,2,46.02,43.2,69.50,73.31,,,NA,
F2,985,182,2021,yb,3,28.39,17.6,46.26,48.56,,,NA,
F2,986,182,2021,rm,1,35.33,21.0,38.10,38.07,,,NA,
F2,987,182,2021,rm,1,32.50,24.2,36.07,35.93,,,NA,
F2,988,182,2021,bb,2,32.37,20.0,56.51,59.87,,,NA,
F2,990,182,2021,bb,2,18.22,20.6,31.23,33.57,,,NA,
F2,991,182,2021,ro,3,73.80,48.7,106.29,109.40,,,NA,
F2,992,182,2021,ro,4,35.17,64.6,47.87,52.80,,,NA,
F2,993,182,2021,bb,2,26.50,16.1,42.66,46.01,,,NA,
F2,994,182,2021,yb,1,40.72,12.4,48.62,49.45,,,NA,
F2,995,182,2021,ro,4,49.01,36.9,57.41,62.29,,,NA,
F3,1,182,2021,rm,3,18.00,17.7,20.21,21.35,,,NA,
F3,2,182,2021,hem,3,55.59,23.3,87.26,91.24,,,NA,
F3,3,182,2021,wp,2,17.04,34.5,19.72,21.85,,,NA,
F3,4,182,2021,hem,2,26.09,16.4,40.20,41.10,,,NA,
F3,5,182,2021,yb,2,37.70,19.6,53.18,55.77,,,NA,
F3,6,182,2021,rm,2,50.37,20.7,57.30,57.51,,,NA,
F3,7,182,2021,hem,4,19.81,25.7,39.21,43.89,,,NA,
F3,8,182,2021,ro,5,23.53,68.00,50.20,58.59,,,NA,
F3,9,182,2021,rm,2,45.23,29.1,62.11,63.37,,,NA,
F3,11,182,2021,wp,3,37.98,25.1,58.13,60.94,,,NA,
F3,12,182,2021,hem,6,22.09,33.2,22.77,26.66,,,NA,
F3,535,182,2021,hem,2,49.85,16.0,80.04,83.16,,,NA,
F3,737,182,2021,hem,2,58.81,15.6,75.95,77.53,,,need new curved,
F3,823,182,2021,yb,1,7.85,10.0,10.00,11.16,,,NA,
F3,824,182,2021,bb,1,14.57,10.0,22.38,27.19,,,NA,
F3,839,182,2021,bb,2,34.18,12.8,61.42,66.20,,,NA,
F3,914,182,2021,hem,1,NA,10.4,27.40,29.85,,,NA,
F4,29,182,2021,ro,2,38.27,38.7,49.02,51.30,,,NA,
F4,35,182,2021,ro,4,48.69,35.1,73.48,78.43,,,NA,
F4,36,182,2021,ro,3,133.00,41.3,134.31,142.15,,,NA,
F4,36,182,2021,ro,4,16.61,41.3,18.53,27.06,,,NA,
F4,42,182,2021,rm,2,10.54,24.6,21.50,23.05,,,NA,
F4,46,182,2021,rm,1,33.50,14.8,40.15,41.54,,,NA,
F4,49,182,2021,ro,3,69.47,37.6,108.58,115.53,,,spring added,
F4,50,182,2021,ro,2,71.41,30.6,106.16,110.73,,,NA,
F4,51,182,2021,ro,2,61.44,29.5,96.74,101.62,,,NA,
F4,55,182,2021,bb,2,54.94,25.5,79.75,82.30,,,NA,
F4,62,182,2021,wp,2,27.96,27.5,28.62,27.51,,,NA,
F4,64,182,2021,wp,1,82.84,31.0,89.53,90.99,,,NA,
F4,68,182,2021,rm,2,41.65,16.7,43.56,43.53,,,NA,
F4,71,182,2021,rm,1,53.35,20.4,64.09,64.57,,,NA,
F4,73,182,2021,wp,4,70.22,74.3,101.48,108.00,,,spring tightened,
F4,735,182,2021,ash,2,49.03,26.2,83.11,88.28,,,NA,
F5,76,182,2021,wp,3,59.29,47.1,113.39,119.24,,10mm left,NA,
F5,81,182,2021,ro,3,15.16,31.1,29.47,37.18,,,NA,
F5,84,182,2021,ro,2,21.76,24.5,26.82,28.83,,,NA,
F5,86,182,2021,hem,3,24.36,27.3,49.62,53.20,,,NA,
F5,87,182,2021,ro,1,83.27,21.1,99.96,101.67,,,NA,
F5,94,182,2021,rm,2,47.33,18.8,53.80,54.27,,,NA,
F5,97,182,2021,cherry,2,14.26,27.3,14.29,14.45,,,NA,
F5,98,182,2021,hem,4,27.43,27.7,49.82,52.53,,,NA,
F5,99,182,2021,hem,3,63.67,31.5,82.81,85.09,,,NA,
F5,104,182,2021,rm,1,60.02,20.8,62.74,62.81,,,NA,
F5,109,182,2021,ro,3,20.95,41.8,22.58,29.27,,,NA,
F5,110,182,2021,ro,3,13.82,32.0,55.41,63.01,,,NA,
F5,114,182,2021,ro,2,44.78,24.8,53.65,55.97,,,NA,
F5,117,182,2021,wp,5,60.07,52.0,110.74,115.55,,,NA,
F5,126,182,2021,rm,1,31.46,17.6,35.08,35.12,,,NA,
F5,127,182,2021,rm,1,42.72,12.7,49.30,50.32,,,NA,
F5,133,182,2021,ro,2,71.75,36.4,105.83,109.91,,,NA,
G1,153,182,2021,rm,3,15.85,17.8,59.91,70.84,,,NA,
G1,165,182,2021,rm,2,11.55,16.1,39.95,48.95,,,NA,
G1,175,182,2021,ro,4,35.37,34.7,62.51,74.51,,,NA,
G1,176,182,2021,rm,4,12.96,23.2,37.31,48.49,,,NA,
G1,211,182,2021,beech,3,20.09,14.1,34.10,39.82,,,NA,
G1,571,182,2021,hem,1,9.49,11.7,30.38,33.91,,,NA,
G1,703,182,2021,hem,1,12.59,10.0,21.73,23.93,,,NA,
G1,704,182,2021,rm,1,11.05,10.2,34.85,42.80,,,NA,
G1,705,182,2021,bb,1,12.08,10.5,54.60,63.65,,,NA,
G1,728,182,2021,rm,2,13.10,12.3,19.20,23.20,,,NA,
G1,809,182,2021,hem,2,15.12,12.9,15.12,17.90,,adelgid,NA,
G1,898,182,2021,hem,1,29.50,11.5,50.90,52.19,,,NA,
G1,910,182,2021,hem,1,10.42,11.2,40.16,45.35,,,NA,
G1,913,182,2021,rm,1,20.65,11.8,42.18,48.61,,,NA,
G1,917,182,2021,beech,1,11.09,10.3,11.37,17.08,,,NA,
G1,918,182,2021,hem,1,14.72,10.0,15.55,16.31,,,NA,
G1,919,182,2021,hem,1,10.38,10.0,10.79,15.73,,,NA,
G1,920,182,2021,rm,1,21.07,10.0,21.25,21.33,,,NA,
G1,921,182,2021,hem,1,14.08,10.3,15.23,20.63,,,NA,
G1,991,182,2021,rm,1,8.00,10.5,62.22,70.20,,,NA,
G2,202,182,2021,hem,2,25.06,42.6,35.66,36.46,,,NA,
G2,204,182,2021,hem,2,40.82,45.0,57.47,59.15,,,NA,
G2,205,182,2021,yb,1,23.53,12.9,25.36,25.82,,,NA,
G2,206,182,2021,cherry,2,30.87,52.1,47.21,49.69,,,NA,
G2,207,182,2021,hem,2,59.71,38.0,82.73,84.85,,,NA,
G2,209,182,2021,hem,2,27.19,32.8,39.03,40.40,,,NA,
G2,210,182,2021,hem,3,44.58,50.5,78.16,81.02,,,NA,
G2,211,182,2021,ro,3,51.38,32.5,73.44,77.37,,,NA,
G2,213,182,2021,hem,1,66.09,38.3,68.03,67.94,,,NA,
G2,214,182,2021,hem,2,68.74,41.3,84.66,86.63,,,NA,
G2,215,182,2021,hem,1,29.55,15.7,30.56,31.26,,,NA,
G2,216,182,2021,hem,1,58.20,20.0,62.60,62.55,,,NA,
G2,217,182,2021,hem,3,56.11,44.3,65.92,68.40,,,NA,
G2,219,182,2021,hem,1,82.21,28.5,99.09,99.77,,,NA,
G2,222,182,2021,hem,1,22.24,15.1,25.69,25.96,,,NA,
G2,224,182,2021,hem,2,55.87,47.3,76.70,78.48,,,NA,
G2,225,182,2021,hem,1,73.24,32.9,81.48,81.85,,,NA,
G2,226,182,2021,hem,1,93.90,26.0,107.27,107.42,,,NA,
G2,823,182,2021,hem,1,12.14,10.0,12.12,12.16,,,NA,
G4,251,182,2021,rm,1,20.64,15.3,21.65,21.70,,,NA,
G4,256,182,2021,bb,2,47.88,21.3,75.92,78.68,,,NA,
G4,257,182,2021,ro,2,29.12,37.0,45.99,48.10,,,NA,
G4,258,182,2021,bb,1,31.59,20.5,34.09,34.13,,,NA,
G4,261,182,2021,rm,1,78.40,24.6,93.01,93.69,,,woodpecker damage,
G4,263,182,2021,rm,2,17.57,23.6,23.76,25.44,,,NA,
G4,264,182,2021,rm,3,36.03,18.3,43.72,43.51,,,NA,
G5,90,182,2021,bb,2,15.46,14.1,32.64,36.18,,,NA,
G5,231,182,2021,yb,1,22.02,11.2,25.95,26.12,,,NA,
G5,265,182,2021,hem,3,24.49,19.3,48.78,50.85,,,NA,
G5,266,182,2021,rm,2,16.54,17.1,35.49,36.82,,,NA,
G5,267,182,2021,hem,4,33.70,17.4,52.95,55.67,,,NA,
G5,268,182,2021,ro,2,74.21,40.0,89.02,91.71,,,NA,
G5,269,182,2021,hem,3,66.64,28.6,96.96,100.76,,,97.06 after spring added,
G5,271,182,2021,bb,2,39.09,30.3,68.97,76.67,,,NA,
G5,272,182,2021,hem,2,18.37,16.4,25.76,26.29,,,NA,
G5,273,182,2021,hem,4,20.19,25.0,30.58,34.20,,,NA,
G5,275,182,2021,rm,1,53.37,17.5,61.02,61.21,,,NA,
G5,276,182,2021,hem,3,75.63,25.0,100.06,102.81,,,NA,
G5,277,182,2021,rm,1,17.51,23.2,20.03,19.98,,,NA,
G5,278,182,2021,hem,2,38.61,15.1,38.84,38.63,,,NA,
G5,279,182,2021,ro,2,64.13,42.1,96.62,102.43,,,96.36 before spring add,
G5,282,182,2021,rm,1,55.39,21.5,59.94,59.91,,,NA,
G5,283,182,2021,rm,1,29.43,13.4,36.76,37.28,,,NA,
G5,285,182,2021,wp,2,23.21,28.1,28.92,29.30,,,NA,
G5,286,182,2021,hem,3,20.24,30.5,37.90,40.70,,,NA,
G5,287,182,2021,rm,1,33.77,15.6,37.40,37.97,,,NA,
G5,289,182,2021,hem,3,16.50,22.3,20.20,19.92,,,NA,
G5,290,182,2021,hem,3,43.02,15.7,56.70,59.04,,,NA,
G5,291,182,2021,ro,2,21.05,48.3,31.23,33.72,,,NA,
G5,293,182,2021,hem,2,33.69,23.3,55.69,57.41,,,NA,
G5,294,182,2021,rm,1,79.05,26.5,94.91,95.84,,,NA,
G5,295,182,2021,ro,2,28.58,44.3,53.93,57.21,,,NA,
G5,589,182,2021,hem,2,8.28,13.0,9.65,9.65,,,NA,
G5,597,182,2021,bb,2,33.81,13.0,45.04,46.89,,,late leaf out,
G5,739,182,2021,hem,2,28.90,14.3,36.50,37.67,,,NA,
G5,740,182,2021,rm,2,29.33,10.7,33.96,34.83,,,NA,
G5,741,182,2021,rm,3,31.76,11.2,35.81,35.78,,,NA,
G5,742,182,2021,hem,3,32.97,15.8,48.87,51.08,,,NA,
G5,751,182,2021,hem,1,33.59,11.5,35.72,35.73,,,NA,
G5,752,182,2021,rm,1,34.56,10.7,35.52,35.56,,,NA,
G5,840,182,2021,hem,1,43.22,11.0,58.34,60.44,,,NA,
H1,117,182,2021,hem,2,36.17,14.2,56.36,59.13,,adelgid in plot,NA,
H1,302,182,2021,ro,2,37.02,40.8,57.15,60.30,,,NA,
H1,304,182,2021,beech,3,28.45,28.6,59.93,66.20,,,bark disease,
H1,305,182,2021,ro,3,50.13,54.2,79.57,84.69,,,NA,
H1,306,182,2021,rm,1,51.40,31.3,57.15,57.73,,,NA,
H1,308,182,2021,rm,1,28.19,14.2,36.62,37.12,,,NA,
H1,309,182,2021,ro,2,67.00,38.9,103.57,109.08,,,NA,
H1,310,182,2021,wp,1,41.22,21.4,43.80,44.35,,,NA,
H1,311,182,2021,rm,1,75.00,19.0,88.76,90.97,,,NA,
H1,313,182,2021,wp,3,49.43,48.8,71.23,75.42,,,NA,
H1,314,182,2021,hem,2,60.65,51.2,79.05,79.49,,,NA,
H1,317,182,2021,rm,2,53.13,27.1,83.83,90.25,,,NA,
H1,318,182,2021,rm,3,57.72,25.5,88.19,93.62,,,NA,
H1,319,182,2021,hem,2,34.52,48.4,56.47,59.08,,,NA,
H1,320,182,2021,wp,2,42.27,31.9,58.02,60.72,,,NA,
H1,321,182,2021,rm,2,45.25,28.7,52.46,52.92,,,NA,
H1,323,182,2021,rm,1,47.76,16.2,54.40,55.95,,,NA,
H1,326,182,2021,rm,2,28.29,14.9,30.16,30.25,,,NA,
H1,807,182,2021,hem,1,9.36,10.5,20.10,20.67,,,NA,
H1,841,182,2021,hem,2,42.98,13.3,68.94,73.86,,needs new,NA,
H1,842,182,2021,hem,1,36.45,11.6,56.17,58.60,,,NA,
H1,843,182,2021,hem,1,36.35,11.9,49.34,51.62,,,NA,
H1,844,182,2021,hem,1,24.13,11.3,32.88,33.96,,,NA,
H1,899,182,2021,hem,2,17.73,13.1,25.54,29.07,,,NA,
H2,327,182,2021,hem,2,29.58,34.8,34.79,35.66,,,NA,
H2,329,182,2021,rm,2,38.18,19.7,41.51,41.40,,,NA,
H2,330,182,2021,hem,1,28.21,24.6,28.81,28.85,,,"suppressed, maybe dead",
H2,331,182,2021,hem,1,46.88,19.9,49.70,49.79,,,NA,
H2,333,182,2021,ro,2,49.17,35.5,64.47,67.43,,,NA,
H2,334,182,2021,hem,2,42.89,37.9,68.03,70.20,,,NA,
H2,336,182,2021,ro,2,35.22,37.7,64.46,68.79,,,NA,
H2,338,182,2021,hem,2,78.65,34.5,84.58,85.01,,,NA,
H2,339,182,2021,hem,1,21.90,14.9,23.28,23.40,,,NA,
H2,341,182,2021,hem,2,43.39,19.0,44.14,44.19,,,NA,
H2,342,182,2021,hem,2,12.53,33.8,14.60,14.77,,,NA,
H2,343,182,2021,yb,2,33.54,47.4,47.19,48.21,,,NA,
H2,344,182,2021,ro,1,84.48,29.1,98.08,100.81,,,NA,
H2,345,182,2021,hem,2,34.21,45.8,35.93,35.94,,,NA,
H2,346,182,2021,rm,1,45.34,15.9,56.42,57.42,,,NA,
H2,348,182,2021,rm,2,68.57,28.2,97.97,101.57,,,NA,
H2,349,182,2021,hem,1,50.79,30.8,53.46,53.55,,,NA,
H2,350,182,2021,rm,1,15.70,12.6,16.86,16.87,,,NA,
H2,351,182,2021,hem,1,68.38,29.6,73.96,74.10,,,NA,
H2,352,182,2021,ro,1,71.78,25.0,79.56,80.60,,,NA,
H2,353,182,2021,hem,2,115.92,42.2,113.26,115.92,42.2,"line drawn, rm if match",NA,
H2,353,182,2021,hem,3,22.80,42.2,20.49,22.80,42.2,,NA,
H2,354,182,2021,ro,3,35.93,66.0,67.46,72.44,,,NA,
H5,383,182,2021,hem,2,31.01,33.5,47.99,50.38,,,NA,
H5,384,182,2021,rm,1,76.78,38.2,88.37,89.89,,,NA,
H5,385,182,2021,hem,2,49.85,38.2,73.33,74.97,,,NA,
H5,388,182,2021,hem,2,73.22,31.6,107.76,110.95,,,NA,
H5,389,182,2021,rm,1,34.15,43.4,36.86,37.28,,,NA,
H5,392,182,2021,hem,1,35.78,25.1,39.49,39.61,,,NA,
H5,393,182,2021,yb,3,21.15,16.0,23.97,23.55,,,NA,
H5,394,182,2021,hem,1,76.35,15.0,94.77,94.98,,,NA,
H5,396,182,2021,ro,2,46.69,22.1,66.91,69.41,,,NA,
H5,397,182,2021,beech,1,47.56,65.3,55.09,56.52,,,NA,
H5,398,182,2021,bb,1,54.17,13.6,65.94,67.61,,,NA,
H5,399,182,2021,hem,2,28.33,19.2,46.22,48.3,,,NA,
H5,400,182,2021,hem,3,46.27,15.2,67.26,69.77,,,needs new curved,
H5,402,182,2021,ro,2,32.14,29.3,55.47,58.95,,,NA,
H5,403,182,2021,beech,2,69.58,23.7,76.90,76.82,,dying,"canopy decline, bark disease",
H5,404,182,2021,hem,2,32.06,20.0,35.63,35.99,,,NA,
H5,405,182,2021,hem,2,37.69,40.7,62.53,65.63,,,NA,
H5,536,182,2021,hem,1,6.46,10.8,6.46,6.87,,,NA,
H5,743,182,2021,hem,1,14.61,10.7,16.66,16.65,,,NA,
H5,810,182,2021,hem,1,29.52,10.7,38.34,39.22,,,NA,
