plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes
A1,1,170,2020,yb,4,14.51,19.4,15.03,16.52,,,NA
A1,2,170,2020,rm,1,91.17,36.6,111.85,111.92,,needs new,needs new
A1,2,170,2020,rm,2,NA,NA,NA,NA,,install new,install new
A1,6,170,2020,rm,3,64.49,35.1,78.19,77.66,,,NA
A1,8,170,2020,yb,3,26.95,27.0,33.19,33.55,,,NA
A1,9,170,2020,yb,2,32.69,18.0,42.49,43.01,,,NA
A1,10,170,2020,yb,2,29.84,16.7,39.92,39.99,,,NA
A1,14,170,2020,ro,3,69.21,62.7,100.16,103.41,,,NA
A1,15,170,2020,rm,1,33.45,23.0,35.39,35.40,,,NA
A1,18,170,2020,rm,2,31.42,29.0,34.32,34.81,,,Duplicate of B1 154
A1,19,170,2020,ro,3,75.59,54.2,114.48,118.53,,"Duplicate of B1 155, needs new","Duplicate of B1 155, needs new"
A1,19,170,2020,ro,4,NA,NA,NA,NA,,"Duplicate of B1 155, install new","Duplicate of B1 155, install new"
A1,801,170,2020,hem,1,39.93,10.9,56.02,59.10,,,NA
A1,828,170,2020,yb,1,36.84,11.9,46.26,46.98,,,NA
A1,903,170,2020,hem,1,21.59,10.3,38.38,42.49,,,NA
A2,25,170,2020,rm,1,69.61,16.0,73.38,73.66,,,needs new
A2,25,170,2020,rm,2,NA,NA,NA,11.87,,,install new
A2,26,170,2020,bo,2,65.64,43.8,83.70,86.80,,,NA
A2,27,170,2020,rm,4,10.20,13.0,16.65,17.02,,,NA
A2,29,170,2020,rm,1,54.72,16.9,58.16,58.07,,,NA
A2,30,170,2020,rm,2,84.48,25.0,95.41,95.34,,,NA
A2,31,170,2020,bo,2,49.52,43.3,69.28,71.58,,,NA
A2,32,170,2020,ro,2,54.14,45.7,75.48,78.61,,check previous 75.48? Yes made change,NA
A2,33,170,2020,bo,2,22.95,33.9,24.97,25.48,,,NA
A2,34,170,2020,ro,2,21.78,43.4,35.54,37.43,,,NA
A2,35,170,2020,rm,1,26.92,22.2,29.18,29.35,,,NA
A2,92,170,2020,beech,2,55.74,14.1,58.14,NA,,"dead, removed","dead, but leave dend on until spring 2020 to be sure"
A2,892,170,2020,hem,2,18.12,12.8,21.82,27.16,,,NA
A2,893,170,2020,rm,1,20.29,10.6,27.07,26.60,,,NA
A2,911,170,2020,beech,1,32.69,10.1,47.00,48.94,,,NA
A2,990,170,2020,hem,1,29.17,10.3,46.49,50.30,,,NA
A3,51,170,2020,ro,2,48.06,25.5,66.18,68.38,,,NA
A3,52,170,2020,beech,3,23.63,16.2,45.64,47.52,,,NA
A3,53,170,2020,rm,2,18.55,12.0,19.20,19.10,,die back,die back
A3,54,170,2020,ro,3,80.82,39.4,112.02,115.61,,needs new,NA
A3,55,170,2020,rm,3,43.26,18.5,44.14,44.07,,,NA
A3,56,170,2020,rm,3,28.99,15.9,30.87,31.28,,,NA
A3,57,170,2020,ro,3,110.14,62.1,110.18,111.07,,rm next,rm 2020
A3,57,170,2020,ro,4,17.64,62.1,17.89,19.72,,dbh next,NA
A3,58,170,2020,ro,3,60.39,44.1,87.67,89.80,,,NA
A3,60,170,2020,rm,1,88.29,23.2,102.90,103.93,,,NA
A3,61,170,2020,ro,2,66.50,50.5,93.19,97.68,,,NA
A3,66,170,2020,rm,2,87.86,30.5,114.87,117.59,,,band tightened
A3,70,170,2020,ro,2,15.52,45.3,16.30,18.03,,,NA
A3,263,170,2020,bb,1,15.10,10.6,17.02,16.99,,,NA
A3,709,170,2020,hem,1,5.82,10.0,13.51,19.83,,,NA
A3,891,170,2020,hem,2,24.44,13.5,38.68,46.44,,,NA
A3,984,170,2020,rm,1,15.98,10.5,24.27,24.68,,,NA
B1,152,170,2020,rm,2,54.89,18.8,75.01,75.70,,,NA
B1,153,170,2020,ro,3,64.85,55.0,101.05,105.88,,Put glue in bore hole,NA
B1,154,170,2020,rm,2,31.42,29.0,34.32,34.81,,duplicate A1 18,NA
B1,155,170,2020,ro,3,75.59,54.2,114.48,118.53,,"Duplicate of A1 19, needs new","Duplicate of A1 19, needs new"
B1,155,170,2020,ro,4,NA,NA,NA,,,"Duplicate of A1 19, install new","Duplicate of A1 19, install new"
B1,156,170,2020,rm,5,17.96,39.0,54.37,56.27,,,NA
B1,157,170,2020,rm,1,32.99,19.8,34.61,34.65,,"dying, fungus",NA
B1,159,170,2020,rm,2,12.72,30.7,24.27,24.91,,,NA
B1,160,170,2020,rm,1,53.59,36.4,63.77,64.38,,,NA
B1,161,170,2020,rm,2,23.26,19.9,25.15,25.35,,,NA
B1,162,170,2020,rm,2,17.74,34.0,28.86,28.81,,,NA
B1,164,170,2020,wp,2,12.10,20.5,17.93,18.07,,,NA
B1,165,170,2020,ro,2,33.21,45.5,43.73,45.73,,,NA
B1,802,170,2020,rm,1,14.93,10.1,16.54,16.59,,,NA
B1,815,170,2020,hem,1,10.77,11.8,23.82,29.11,,,NA
B1,816,170,2020,hem,1,14.60,10.9,26.54,30.99,,,NA
B1,895,170,2020,yb,1,30.96,11.0,42.42,43.29,,,NA
B2,179,170,2020,ro,3,66.97,68.9,100.88,106.07,,Put glue in bore hole,NA
B2,182,170,2020,yb,2,14.17,32.8,16.59,17.08,,,NA
B2,187,170,2020,rm,2,59.66,32.9,75.19,75.21,,,NA
B2,189,170,2020,cherry,1,31.15,35.9,35.39,35.03,,,NA
B2,192,170,2020,bb,2,13.47,14.4,17.72,18.46,,,NA
B2,193,170,2020,yb,3,26.78,18.1,36.84,37.13,,,NA
B2,194,170,2020,rm,2,15.53,23.8,24.70,24.73,,,NA
B2,894,170,2020,rm,1,17.25,10.7,22.61,22.75,,,NA
B3,201,170,2020,ro,4,63.21,42.5,100.15,104.32,,,NA
B3,203,170,2020,ash,1,28.54,16.0,28.88,28.77,,canopy die back,NA
B3,208,170,2020,rm,1,23.31,20.0,25.06,25.02,,,NA
B3,209,170,2020,ro,2,87.38,23.8,97.51,99.13,,,NA
B3,210,170,2020,ro,3,62.05,38.0,93.23,97.56,,,NA
B3,211,170,2020,rm,1,36.19,17.4,36.86,36.74,,,dying
B3,212,170,2020,rm,2,10.09,13.5,10.77,10.79,,,NA
B3,213,170,2020,rm,1,36.04,14.6,38.27,38.31,,,NA
B3,214,170,2020,yb,1,34.83,16.0,36.19,36.18,,,NA
B3,215,170,2020,rm,2,32.49,19.6,34.79,34.83,,,NA
B3,221,170,2020,rm,1,18.44,24.1,18.71,18.57,,,NA
B3,223,170,2020,ro,4,20.67,50.2,43.82,47.72,,,NA
B3,226,170,2020,ro,1,88.61,24.7,95.65,96.66,,,NA
B3,227,170,2020,rm,1,12.05,21.7,12.28,12.36,,,NA
B3,228,170,2020,bo,5,24.46,55.3,25.95,33.71,,,NA
B3,231,170,2020,ro,1,78.06,23.8,87.58,88.33,,,NA
B3,232,170,2020,ro,2,72.39,39.0,95.21,98.53,,,NA
B3,814,170,2020,hem,1,13.92,10.2,20.34,23.34,,,NA
B4,253,170,2020,rm,2,17.18,13.4,24.30,24.41,,,NA
B4,255,170,2020,rm,2,20.49,21.8,28.75,29.37,,,NA
B4,256,170,2020,rm,2,43.07,15.5,44.76,44.81,,,NA
B4,257,170,2020,rm,1,36.59,13.2,38.06,38.05,,,NA
B4,260,170,2020,rm,1,15.33,11.4,16.73,16.59,,,NA
B4,261,170,2020,rm,1,40.71,16.5,46.04,46.11,,,NA
B4,262,170,2020,ro,3,74.92,28.7,106.83,111.21,,,NA
