plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,notes,ref.notes
B4,255,287,2021,rm,2,20.49,21.8,33.86,33.91,,,NA
B4,256,287,2021,rm,2,43.07,15.5,45.18,45.22,,,"dying, snapped 1/2 way up"
B4,257,287,2021,rm,1,36.59,13.2,38.12,38.13,,,NA
B4,260,287,2021,rm,1,15.33,11.4,16.98,16.99,,,NA
B4,261,287,2021,rm,1,40.71,16.5,48.14,48.13,,,NA
B4,262,287,2021,ro,3,74.92,28.7,121.37,121.58,,,NA
B4,264,287,2021,rm,3,19.22,12.7,35.01,35.09,,,"bent by fallen tree, but still alive"
B4,271,287,2021,rm,1,49.36,11.7,65.43,65.55,,,"too curved, needs new, but will probably die"
B4,271,287,2021,rm,2,NA,NA,NA,14.15,,,""""""
B4,272,287,2021,rm,2,38.92,25.7,83.08,83.30,,,NA
B4,273,287,2021,rm,2,58.31,15.5,71.38,71.52,,,NA
B4,276,287,2021,rm,1,47.59,12.5,58.03,58.01,,,NA
B4,277,287,2021,ro,3,33.51,28.0,60.09,60.18,,,NA
B4,278,287,2021,rm,1,26.26,15.3,27.77,27.78,,,NA
B4,279,287,2021,rm,1,21.85,13.2,22.94,23.03,,,NA
B4,280,287,2021,ro,2,37.28,25.5,46.06,46.21,,,NA
B4,537,287,2021,rm,1,35.83,11.0,36.30,36.35,,,dead
B4,706,287,2021,rm,1,12.86,10.0,12.84,12.88,,,NA
B4,726,287,2021,ro,3,18.49,41.9,41.99,42.35,,,NA
B4,805,287,2021,beech,1,39.12,10.8,57.82,57.99,,,"needs new, curved"
B4,805,287,2021,beech,2,NA,NA,NA,15.68,,first measurement,NA
B4,924,287,2021,beech,1,13.09,10.0,21.43,21.48,,,NA
C1,214,287,2021,bb,3,NA,NA,20.46,20.90,,needs DBH,old = 75.7
C1,217,287,2021,hem,2,90.06,34.7,117.88,118.14,,rm next,rm next 
C1,217,287,2021,hem,3,NA,NA,11.75,11.88,,,NA
C1,351,287,2021,hem,5,72.38,25.9,112.43,112.54,27.2,"removed, delete",line drawn rm next if matches
C1,351,287,2021,hem,6,NA,NA,13.08,13.18,27.2,,first measurement
C1,352,287,2021,ro,2,41.51,47.2,67.87,68.05,,,NA
C1,353,287,2021,ro,2,33.75,42.8,61.04,60.96,,,NA
C1,354,287,2021,rm,2,48.76,25.1,54.62,54.61,,,NA
C1,355,287,2021,yb,2,16.41,14.0,34.33,34.44,,,NA
C1,356,287,2021,ro,2,50.68,39.1,78.87,79.01,,,NA
C1,360,287,2021,yb,2,37.31,18.7,43.11,43.22,,,NA
C1,361,287,2021,ro,4,16.06,64.6,33.38,33.69,,,NA
C1,362,287,2021,ro,1,81.01,42.3,93.19,93.38,,,NA
C1,363,287,2021,ro,2,39.46,37.1,72.64,72.93,,,NA
C1,366,287,2021,ro,1,84.48,36.5,105.43,105.43,,,NA
C1,367,287,2021,ro,2,48.93,49.6,94.69,94.83,,,NA
C2,291,287,2021,rm,1,52.92,18.8,53.25,53.26,,,NA
C2,378,287,2021,ro,3,50.93,58.7,74.69,74.86,,,NA
C2,379,287,2021,rm,2,15.43,11.4,18.08,17.79,,,NA
C2,380,287,2021,rm,1,50.27,21.6,56.54,56.65,,,NA
C2,382,287,2021,rm,1,38.72,20.6,47.74,47.78,,,NA
C2,385,287,2021,rm,1,32.60,15.9,36.96,37.06,,,NA
C2,386,287,2021,ro,3,42.63,42.0,71.58,71.65,,,NA
C2,388,287,2021,beech,3,48.32,17.1,67.66,67.80,,,bark disease
C2,390,287,2021,ro,2,131.68,54.8,131.68,130.67,,"removed, delete",no change
C2,390,287,2021,ro,3,16.93,54.8,17.95,18.11,,,NA
C2,391,287,2021,ro,2,59.88,49.0,89.63,89.73,,,NA
C2,392,287,2021,ro,3,34.60,60.4,52.47,52.71,,,NA
C2,829,287,2021,yb,2,14.53,12.3,14.87,14.94,,,NA
C2,830,287,2021,hem,2,24.26,13.7,71.13,71.32,,,~12mm left
C2,979,287,2021,rm,1,8.25,9.9,11.71,11.82,,,NA
C3,207,287,2021,hem,3,25.32,15.7,31.68,31.06,,,NA
C3,264,287,2021,hem,3,15.27,15.5,21.46,21.52,,,NA
C3,402,287,2021,rm,2,23.05,32.8,53.17,53.26,,,NA
C3,403,287,2021,rm,1,69.29,27.9,81.31,81.39,,,NA
C3,405,287,2021,yb,2,32.05,21.0,51.98,52.11,,,NA
C3,406,287,2021,ash,2,20.77,18.9,36.82,37.01,,,NA
C3,411,287,2021,rm,2,30.02,28.1,60.57,60.81,,,NA
C3,412,287,2021,rm,3,12.63,21.9,20.20,21.34,,,NA
C3,413,287,2021,rm,1,76.86,24.3,91.98,91.87,,,NA
C3,414,287,2021,yb,2,32.96,15.6,45.95,46.01,,,NA
C3,415,287,2021,rm,2,37.95,28.2,64.33,64.47,,,NA
C3,416,287,2021,rm,3,38.77,32.9,67.86,68.13,,,NA
C3,417,287,2021,rm,1,19.87,17.9,23.93,23.96,,,NA
C3,418,287,2021,ash,2,38.17,29.8,58.93,59.44,,,NA
C3,419,287,2021,yb,1,43.75,14.9,50.94,51.04,,,NA
C3,421,287,2021,ash,3,38.42,42.8,65.97,66.34,,,NA
C3,423,287,2021,rm,1,34.82,24.7,39.32,39.53,,,NA
C3,425,287,2021,ash,3,19.42,20.9,21.25,21.48,,,NA
C3,426,287,2021,ash,1,29.05,20.5,35.94,35.95,,,NA
C3,729,287,2021,yb,2,62.83,21.0,93.62,93.80,,,NA
C4,456,287,2021,rm,1,45.52,18.4,49.51,49.52,,,NA
C4,459,287,2021,ro,2,54.86,41.8,86.79,86.99,,,NA
C4,462,287,2021,bo,4,58.63,44.2,110.14,110.16,,,NA
C4,465,287,2021,rm,1,65.00,17.3,80.99,81.02,,,NA
C4,466,287,2021,ro,1,72.57,27.5,83.78,83.84,,,NA
C4,469,287,2021,ro,2,36.21,41.0,61.20,61.27,,,NA
C4,474,287,2021,ro,4,12.12,50.6,20.60,20.83,,,NA
C4,484,287,2021,beech,2,31.57,13.3,60.82,60.84,,,NA
C4,485,287,2021,beech,2,45.05,30.4,69.72,69.85,,,NA
C4,487,287,2021,rm,1,53.69,23.8,60.55,60.58,,,NA
C4,491,287,2021,rm,2,28.88,30.5,40.95,40.96,,,NA
C4,494,287,2021,rm,2,64.56,28.7,81.53,81.56,,,NA
C4,498,287,2021,rm,1,26.46,20.1,27.32,27.31,,,NA
C4,570,287,2021,beech,2,11.60,11.5,27,27.02,,,NA
C5,260,287,2021,beech,4,15.43,14.5,18.42,18.58,,,NA
C5,290,287,2021,beech,3,80.48,15.6,65.87,66.02,,,NA
C5,501,287,2021,bo,3,52.94,37.8,106.11,106.21,,needs new next time,prev wrong? 104.08?
C5,503,287,2021,gb,2,17.89,18.4,19.51,19.56,,,NA
C5,504,287,2021,ro,2,36.50,17.3,46.28,46.33,,,NA
C5,505,287,2021,rm,2,78.35,23.2,101.26,101.31,,,NA
C5,509,287,2021,rm,2,17.09,16.8,29.26,29.36,,,NA
C5,512,287,2021,rm,2,61.47,15.7,66.52,66.48,,,NA
C5,513,287,2021,ro,3,54.25,30.0,79.90,79.94,,,NA
C5,514,287,2021,rm,3,9.58,15.9,21.15,21.19,,,NA
C5,515,287,2021,ro,2,62.90,25.7,101.24,101.39,,,NA
C5,518,287,2021,yb,2,30.31,12.6,41.99,42.08,,heart rot,NA
C5,519,287,2021,ro,3,60.97,38.4,95.13,95.29,,"spring added, 95.35",NA
C5,724,287,2021,beech,4,12.62,16.9,23.23,23.67,,,NA
C5,733,287,2021,rm,2,54.33,14.0,73.40,73.46,,rm next if matches,NA
C5,733,287,2021,rm,3,NA,NA,16.80,16.83,,DBH next,first measurement
C5,831,287,2021,beech,3,22.24,13.7,29.52,29.81,,,NA
C5,888,287,2021,rm,1,7.48,13.7,7.55,7.67,,,NA
C5,800,287,2021,beech,1,12.72,10.0,NA,12.72,10.0,measurement on 11-11-2021,new recruit
D1,266,287,2021,wp,4,37.86,47.1,61.02,60.85,,,NA
D1,524,287,2021,rm,1,10.47,10.3,15.59,15.83,,,NA
D1,526,287,2021,rm,1,61.89,20.5,81.22,81.70,,,NA
D1,527,287,2021,rm,2,57.87,13.9,65.61,65.81,,,NA
D1,529,287,2021,rm,2,15.82,25.5,36.58,36.71,,,NA
D1,530,287,2021,bo,2,27.20,29.9,46.82,46.88,,,NA
D1,531,287,2021,bo,2,57.28,35.3,85.95,86.02,,,NA
D1,532,287,2021,ro,4,62.19,43.2,112.10,112.33,,,NA
D1,537,287,2021,rm,2,31.34,14.7,54.93,55.10,,,NA
